claim_id,post_file,claim_text,claim_type,source,verification_status,is_illustrative
0032,2026-05-19-1600-anti-integration-011.md,1. Start with the lease rule. Financial math should be deterministic and auditable.,workflow-principle,https://www.capveri.com/resources/deterministic-vs-ai-cam,post_body_statement_reviewed_against_source,no
0033,2026-05-19-1600-anti-integration-011.md,"2. Check the source data. Use rules, formulas, and source-backed inputs for allocations.",workflow-principle,https://www.capveri.com/resources/deterministic-vs-ai-cam,post_body_statement_reviewed_against_source,no
0034,2026-05-19-1700-founder-012.md,Start with the CAM close calendar.,workflow-principle,https://www.capveri.com/resources/year-end-close-checklist-cam,post_body_statement_reviewed_against_source,no
0035,2026-05-19-1700-founder-012.md,Lease rule: CAM close works better when review steps are scheduled before statement drafting.,workflow-principle,https://www.capveri.com/resources/year-end-close-checklist-cam,post_body_statement_reviewed_against_source,no
0036,2026-05-19-1700-founder-012.md,"Source file: reserve time for export QA, lease-rule review, exception resolution, and packet assembly.",workflow-principle,https://www.capveri.com/resources/year-end-close-checklist-cam,post_body_statement_reviewed_against_source,no
0037,2026-05-19-1800-cam-math-013.md,CapEx vs. OpEx: one small setup choice can change the tenant answer.,workflow-principle,https://www.capveri.com/resources/capex-detection-cam,post_body_statement_reviewed_against_source,no
0038,2026-05-19-1800-cam-math-013.md,"Before billing, look for capitalization clues before the line enters a recoverable pool.",workflow-principle,https://www.capveri.com/resources/capex-detection-cam,post_body_statement_reviewed_against_source,no
0039,2026-05-19-1800-cam-math-013.md,A repairs account can include invoices that deserve a capital-project check.,workflow-principle,https://www.capveri.com/resources/capex-detection-cam,illustrative_example,yes
0040,2026-05-19-1900-product-014.md,Which issue around the CapVeri trace slows down CAM close the most?,product-positioning,https://www.capveri.com/product-tour,post_body_statement_reviewed_against_source,no
0041,2026-05-19-1900-product-014.md,A. Missing source support,post-body-guidance,https://www.capveri.com/product-tour,post_body_statement_reviewed_against_source,no
0042,2026-05-19-1900-product-014.md,B. Lease-rule ambiguity,post-body-guidance,https://www.capveri.com/product-tour,post_body_statement_reviewed_against_source,no
0043,2026-05-19-2000-engagement-015.md,Where does the handoff around the gross-up factor lose the most context?,workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0044,2026-05-19-2000-engagement-015.md,"The math, the source data, the lease interpretation, or the tenant packet support?",workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0045,2026-05-19-2000-engagement-015.md,"Treat the exception note as part of the reconciliation, not an afterthought.",workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0046,2026-05-20-0600-cam-math-016.md,CAM teams do not need more ceremony. They need better checks around management fees.,workflow-principle,https://www.capveri.com/resources/admin-fee-calculation-methods,post_body_statement_reviewed_against_source,no
0047,2026-05-20-0600-cam-math-016.md,1. Start with the lease rule. Management fees depend on the lease basis and any fee cap.,workflow-principle,https://www.capveri.com/resources/admin-fee-calculation-methods,post_body_statement_reviewed_against_source,no
0048,2026-05-20-0600-cam-math-016.md,"2. Check the source data. Verify whether the fee is calculated on gross rent, recoverable expenses, or another base.",workflow-principle,https://www.capveri.com/resources/admin-fee-calculation-methods,post_body_statement_reviewed_against_source,no
0049,2026-05-20-0700-erp-workarounds-017.md,"If the review for MRI export review is hard to explain, the packet needs work.",workflow-principle,https://www.capveri.com/resources/export-cam-mri,post_body_statement_reviewed_against_source,no
0050,2026-05-20-0700-erp-workarounds-017.md,"Before billing, compare share type, billing pool, lease exclusions, and gross-up rules before statements go out.",workflow-principle,https://www.capveri.com/resources/export-cam-mri,post_body_statement_reviewed_against_source,no
0051,2026-05-20-0700-erp-workarounds-017.md,A tenant can be assigned to the right pool and still use the wrong denominator.,workflow-principle,https://www.capveri.com/resources/export-cam-mri,illustrative_example,yes
0052,2026-05-20-0800-war-stories-018.md,Start with pre-send QA.,workflow-principle,https://www.capveri.com/resources/cam-presend-checklist,post_body_statement_reviewed_against_source,no
0053,2026-05-20-0800-war-stories-018.md,Lease rule: the best time to catch a CAM issue is before the tenant packet goes out.,workflow-principle,https://www.capveri.com/resources/cam-presend-checklist,post_body_statement_reviewed_against_source,no
0054,2026-05-20-0800-war-stories-018.md,"Source file: run checks for pool membership, non-recoverable lines, gross-up, caps, and denominator changes.",workflow-principle,https://www.capveri.com/resources/cam-presend-checklist,post_body_statement_reviewed_against_source,no
0055,2026-05-20-0900-anti-integration-019.md,Check spreadsheet risk before the packet leaves accounting.,workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,post_body_statement_reviewed_against_source,no
0056,2026-05-20-0900-anti-integration-019.md,"Before billing, check hard-coded factors, copied formulas, hidden tabs, and stale denominators.",workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,post_body_statement_reviewed_against_source,no
0057,2026-05-20-0900-anti-integration-019.md,A workbook can pass tie-out while one tenant row still points to last year's denominator.,workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,illustrative_example,yes
0058,2026-05-20-1000-cam-math-020.md,"Before you send the CAM packet, check the gross-up factor.",workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0059,2026-05-20-1000-cam-math-020.md,Setup: gross-up should apply to variable expenses only.,workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0060,2026-05-20-1000-cam-math-020.md,Drift: compare actual occupancy to the lease target before applying a factor.,workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0061,2026-05-20-1100-industry-news-021.md,A tenant question about California SB 1103 should not require rebuilding the workbook.,workflow-principle,https://www.capveri.com/resources/sb-1103-compliance,post_body_statement_reviewed_against_source,no
0062,2026-05-20-1100-industry-news-021.md,"Before billing, separate legal interpretation from accounting support and keep the source documentation ready.",workflow-principle,https://www.capveri.com/resources/sb-1103-compliance,post_body_statement_reviewed_against_source,no
0063,2026-05-20-1100-industry-news-021.md,A disclosure obligation is much easier to handle when the GL export and allocation logic are already organized.,workflow-principle,https://www.capveri.com/resources/sb-1103-compliance,illustrative_example,yes
0064,2026-05-20-1200-cam-math-022.md,A review of CAM caps belongs in CAM close before final billing.,workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0065,2026-05-20-1200-cam-math-022.md,1. Start with the lease rule. Caps only work when the base amount and cap type are recorded correctly.,workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0066,2026-05-20-1200-cam-math-022.md,"2. Check the source data. Confirm whether each cap is cumulative, non-cumulative, compounded, or fixed.",workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0067,2026-05-20-1300-erp-workarounds-023.md,Export review is cheaper than reopening a tenant packet after questions start.,workflow-principle,https://www.capveri.com/resources/export-cam-realpage,post_body_statement_reviewed_against_source,no
0068,2026-05-20-1300-erp-workarounds-023.md,"The useful visual is simple: CAM number on one side; source, rule, and trace on the other.",workflow-principle,https://www.capveri.com/resources/export-cam-realpage,post_body_statement_reviewed_against_source,no
0069,2026-05-20-1300-erp-workarounds-023.md,Use this check to find setup drift before it becomes tenant-facing.,workflow-principle,https://www.capveri.com/resources/export-cam-realpage,post_body_statement_reviewed_against_source,no
0070,2026-05-20-1400-war-stories-024.md,Calculation audit trail can expose drift in an otherwise clean CAM statement.,workflow-principle,https://www.capveri.com/resources/self-audit-cam-billing,post_body_statement_reviewed_against_source,no
0071,2026-05-20-1400-war-stories-024.md,"Before billing, keep GL line, pool assignment, lease clause, factor, cap rule, and tenant allocation together.",workflow-principle,https://www.capveri.com/resources/self-audit-cam-billing,post_body_statement_reviewed_against_source,no
0072,2026-05-20-1400-war-stories-024.md,"If a tenant asks why their share changed, the answer should not require rebuilding the workbook.",workflow-principle,https://www.capveri.com/resources/self-audit-cam-billing,illustrative_example,yes
0073,2026-05-20-1500-cam-math-025.md,The quiet risk in the base-year stop starts before the statement is formatted.,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0074,2026-05-20-1500-cam-math-025.md,What to verify: normalize one-time items before using the base year as a benchmark.,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0075,2026-05-20-1500-cam-math-025.md,What can go wrong: Storm cleanup in the base year should not quietly lower recoveries for every later year.,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,illustrative_example,yes
0076,2026-05-20-1600-anti-integration-026.md,A tenant question about export-based verification should not require rebuilding the workbook.,workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,post_body_statement_reviewed_against_source,no
0077,2026-05-20-1600-anti-integration-026.md,"Before billing, use CSV, Excel, and PDF outputs as the input layer.",workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,post_body_statement_reviewed_against_source,no
0078,2026-05-20-1600-anti-integration-026.md,"Keep Yardi or MRI as the system of record, then run an independent lease-term calculation beside it.",workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,illustrative_example,yes
0079,2026-05-20-1700-founder-027.md,"The hard part is keeping the export, lease rule, and exception trail together.",workflow-principle,https://www.capveri.com/resources/multi-property-cam-workflow,post_body_statement_reviewed_against_source,no
0080,2026-05-20-1700-founder-027.md,"It is the setup behind the arithmetic. Prioritize what changed, what failed, what needs approval, and what is ready to send.",workflow-principle,https://www.capveri.com/resources/multi-property-cam-workflow,post_body_statement_reviewed_against_source,no
0081,2026-05-20-1700-founder-027.md,"CapVeri keeps export review, lease-term logic, and the calculation record in one review path.",product-positioning,https://www.capveri.com/resources/multi-property-cam-workflow,post_body_statement_reviewed_against_source,no
0082,2026-05-20-1800-cam-math-028.md,Where do tenant questions about the pro-rata denominator usually start?,workflow-principle,https://www.capveri.com/resources/pro-rata-share-calculation,post_body_statement_reviewed_against_source,no
0083,2026-05-20-1800-cam-math-028.md,A. Taxes and insurance,post-body-guidance,https://www.capveri.com/resources/pro-rata-share-calculation,post_body_statement_reviewed_against_source,no
0084,2026-05-20-1800-cam-math-028.md,B. Management fees,post-body-guidance,https://www.capveri.com/resources/pro-rata-share-calculation,post_body_statement_reviewed_against_source,no
0085,2026-05-20-1900-product-029.md,Spreadsheets and ERP setup screens can show the output.,workflow-principle,https://www.capveri.com/sample-report,post_body_statement_reviewed_against_source,no
0086,2026-05-20-1900-product-029.md,"CapVeri keeps the export, lease rule, exception, and tenant-level trace in one review path.",product-positioning,https://www.capveri.com/sample-report,post_body_statement_reviewed_against_source,no
0087,2026-05-20-1900-product-029.md,A gross-up finding should show the occupancy inputs and expense lines affected.,workflow-principle,https://www.capveri.com/sample-report,illustrative_example,yes
0088,2026-05-20-2000-engagement-030.md,"If you could clean up one part of CAM caps when a tenant asks for support, what would you choose?",workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0089,2026-05-20-2000-engagement-030.md,"The math, the source data, the lease interpretation, or the tenant packet support?",workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0090,2026-05-20-2000-engagement-030.md,One clear memo now can prevent a long email thread later.,workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0091,2026-05-21-0600-cam-math-031.md,CapEx vs. OpEx can expose drift in an otherwise clean CAM statement.,workflow-principle,https://www.capveri.com/resources/capex-detection-cam,post_body_statement_reviewed_against_source,no
0092,2026-05-21-0600-cam-math-031.md,"Before billing, look for capitalization clues before the line enters a recoverable pool.",workflow-principle,https://www.capveri.com/resources/capex-detection-cam,post_body_statement_reviewed_against_source,no
0093,2026-05-21-0600-cam-math-031.md,A repairs account can include invoices that deserve a capital-project check.,workflow-principle,https://www.capveri.com/resources/capex-detection-cam,illustrative_example,yes
0094,2026-05-21-0700-erp-workarounds-032.md,Start with GL export QA.,workflow-principle,https://www.capveri.com/resources/gl-analysis-explained,post_body_statement_reviewed_against_source,no
0095,2026-05-21-0700-erp-workarounds-032.md,Lease rule: an export can balance and still be incomplete for CAM work.,workflow-principle,https://www.capveri.com/resources/gl-analysis-explained,post_body_statement_reviewed_against_source,no
0096,2026-05-21-0700-erp-workarounds-032.md,"Source file: check date filters, accrual timing, entity scope, and excluded accounts.",workflow-principle,https://www.capveri.com/resources/gl-analysis-explained,post_body_statement_reviewed_against_source,no
0097,2026-05-21-0800-war-stories-033.md,Watch the audit defense packet before final billing.,workflow-principle,https://www.capveri.com/resources/landlord-cam-audit-defense-playbook,post_body_statement_reviewed_against_source,no
0098,2026-05-21-0800-war-stories-033.md,"Before billing, include source export, lease clause reference, calculation trace, and variance notes.",workflow-principle,https://www.capveri.com/resources/landlord-cam-audit-defense-playbook,post_body_statement_reviewed_against_source,no
0099,2026-05-21-0800-war-stories-033.md,"A tenant asking about landscaping should see the GL lines, allocation basis, and exclusion review.",workflow-principle,https://www.capveri.com/resources/landlord-cam-audit-defense-playbook,illustrative_example,yes
0100,2026-05-21-0900-anti-integration-034.md,The packet gets easier to review when deterministic CAM math is documented early.,workflow-principle,https://www.capveri.com/resources/deterministic-vs-ai-cam,post_body_statement_reviewed_against_source,no
0101,2026-05-21-0900-anti-integration-034.md,1. Start with the lease rule. Financial math should be deterministic and auditable.,workflow-principle,https://www.capveri.com/resources/deterministic-vs-ai-cam,post_body_statement_reviewed_against_source,no
0102,2026-05-21-0900-anti-integration-034.md,"2. Check the source data. Use rules, formulas, and source-backed inputs for allocations.",workflow-principle,https://www.capveri.com/resources/deterministic-vs-ai-cam,post_body_statement_reviewed_against_source,no
0103,2026-05-21-1000-cam-math-035.md,The fastest review of management fees starts with the source file.,workflow-principle,https://www.capveri.com/resources/admin-fee-calculation-methods,post_body_statement_reviewed_against_source,no
0104,2026-05-21-1000-cam-math-035.md,"Before billing, verify whether the fee is calculated on gross rent, recoverable expenses, or another base.",workflow-principle,https://www.capveri.com/resources/admin-fee-calculation-methods,post_body_statement_reviewed_against_source,no
0105,2026-05-21-1000-cam-math-035.md,Applying a fee to an expense pool that already includes the fee can create circular math.,workflow-principle,https://www.capveri.com/resources/admin-fee-calculation-methods,illustrative_example,yes
0106,2026-05-21-1100-industry-news-036.md,"When property tax pass-throughs changes, the tenant note should change with it.",workflow-principle,https://www.capveri.com/resources/real-estate-tax-reconciliation,post_body_statement_reviewed_against_source,no
0107,2026-05-21-1100-industry-news-036.md,Setup: tax pass-throughs can move tenant charges quickly.,workflow-principle,https://www.capveri.com/resources/real-estate-tax-reconciliation,post_body_statement_reviewed_against_source,no
0108,2026-05-21-1100-industry-news-036.md,"Drift: separate assessment changes, refunds, appeals, and prior-year adjustments.",workflow-principle,https://www.capveri.com/resources/real-estate-tax-reconciliation,post_body_statement_reviewed_against_source,no
0109,2026-05-21-1200-cam-math-037.md,Check the gross-up factor before the packet leaves accounting.,workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0110,2026-05-21-1200-cam-math-037.md,"Before billing, compare actual occupancy to the lease target before applying a factor.",workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0111,2026-05-21-1200-cam-math-037.md,"If actual occupancy is already at or above the target, the factor should be 1.0.",workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,illustrative_example,yes
0112,2026-05-21-1300-erp-workarounds-038.md,A tenant question about Yardi export review should not require rebuilding the workbook.,workflow-principle,https://www.capveri.com/resources/export-cam-yardi-voyager,post_body_statement_reviewed_against_source,no
0113,2026-05-21-1300-erp-workarounds-038.md,"Before billing, review recovery pool, share type, gross-up, cap, and exclusion settings against the lease.",workflow-principle,https://www.capveri.com/resources/export-cam-yardi-voyager,post_body_statement_reviewed_against_source,no
0114,2026-05-21-1300-erp-workarounds-038.md,The report can run cleanly while one tenant uses the wrong share type.,workflow-principle,https://www.capveri.com/resources/export-cam-yardi-voyager,illustrative_example,yes
0115,2026-05-21-1400-war-stories-039.md,A review of tenant dispute prep belongs in CAM close before final billing.,workflow-principle,https://www.capveri.com/resources/tenant-cam-dispute,post_body_statement_reviewed_against_source,no
0116,2026-05-21-1400-war-stories-039.md,"1. Start with the lease rule. Many disputes start with missing support, not a dramatic accounting error.",workflow-principle,https://www.capveri.com/resources/tenant-cam-dispute,post_body_statement_reviewed_against_source,no
0117,2026-05-21-1400-war-stories-039.md,2. Check the source data. Review the lines tenants are most likely to question before the packet is sent.,workflow-principle,https://www.capveri.com/resources/tenant-cam-dispute,post_body_statement_reviewed_against_source,no
0118,2026-05-21-1500-cam-math-040.md,The quiet risk in CAM caps starts before the statement is formatted.,workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0119,2026-05-21-1500-cam-math-040.md,"What to verify: confirm whether each cap is cumulative, non-cumulative, compounded, or fixed.",workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0120,2026-05-21-1500-cam-math-040.md,What can go wrong: A 5 percent cap can behave very differently depending on whether unused cap room carries forward.,workflow-principle,https://www.capveri.com/resources/cam-expense-caps,illustrative_example,yes
0121,2026-05-21-1600-anti-integration-041.md,The fastest review of spreadsheet risk starts with the source file.,workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,post_body_statement_reviewed_against_source,no
0122,2026-05-21-1600-anti-integration-041.md,"Before billing, check hard-coded factors, copied formulas, hidden tabs, and stale denominators.",workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,post_body_statement_reviewed_against_source,no
0123,2026-05-21-1600-anti-integration-041.md,A workbook can pass tie-out while one tenant row still points to last year's denominator.,workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,illustrative_example,yes
0124,2026-05-21-1700-founder-042.md,"In CAM close, the final arithmetic is usually the easy part.",workflow-principle,https://www.capveri.com/resources/year-end-close-checklist-cam,post_body_statement_reviewed_against_source,no
0125,2026-05-21-1700-founder-042.md,"It is the setup behind the arithmetic. Reserve time for export QA, lease-rule review, exception resolution, and packet assembly.",workflow-principle,https://www.capveri.com/resources/year-end-close-checklist-cam,post_body_statement_reviewed_against_source,no
0126,2026-05-21-1700-founder-042.md,"CapVeri keeps export review, lease-term logic, and the calculation record in one review path.",product-positioning,https://www.capveri.com/resources/year-end-close-checklist-cam,post_body_statement_reviewed_against_source,no
0127,2026-05-21-1800-cam-math-043.md,Base-year stop should leave a trail a second reviewer can follow.,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0128,2026-05-21-1800-cam-math-043.md,1. Start with the lease rule. Base-year leases compare current recoverable expenses against a baseline year.,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0129,2026-05-21-1800-cam-math-043.md,2. Check the source data. Normalize one-time items before using the base year as a benchmark.,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0130,2026-05-21-1900-product-044.md,A CAM total is not support. The support is the trace behind it.,workflow-principle,https://www.capveri.com/product-tour,post_body_statement_reviewed_against_source,no
0131,2026-05-21-1900-product-044.md,"The useful visual is simple: CAM number on one side; source, rule, and trace on the other.",workflow-principle,https://www.capveri.com/product-tour,post_body_statement_reviewed_against_source,no
0132,2026-05-21-1900-product-044.md,A missing source note can create the same delay as a wrong formula.,workflow-principle,https://www.capveri.com/product-tour,post_body_statement_reviewed_against_source,no
0133,2026-05-21-2000-engagement-045.md,Which issue around the base-year stop slows down CAM close the most?,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0134,2026-05-21-2000-engagement-045.md,A. Missing source support,post-body-guidance,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0135,2026-05-21-2000-engagement-045.md,B. Lease-rule ambiguity,post-body-guidance,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0136,2026-05-22-0600-cam-math-046.md,A CAM total is not support. The support is the trace behind it.,workflow-principle,https://www.capveri.com/resources/pro-rata-share-calculation,post_body_statement_reviewed_against_source,no
0137,2026-05-22-0600-cam-math-046.md,"The useful visual is simple: CAM number on one side; source, rule, and trace on the other.",workflow-principle,https://www.capveri.com/resources/pro-rata-share-calculation,post_body_statement_reviewed_against_source,no
0138,2026-05-22-0600-cam-math-046.md,"Use this as a first-pass control, then move exceptions into a separate queue.",workflow-principle,https://www.capveri.com/resources/pro-rata-share-calculation,post_body_statement_reviewed_against_source,no
0139,2026-05-22-0700-erp-workarounds-047.md,The fastest review of MRI export review starts with the source file.,workflow-principle,https://www.capveri.com/resources/export-cam-mri,post_body_statement_reviewed_against_source,no
0140,2026-05-22-0700-erp-workarounds-047.md,"Before billing, compare share type, billing pool, lease exclusions, and gross-up rules before statements go out.",workflow-principle,https://www.capveri.com/resources/export-cam-mri,post_body_statement_reviewed_against_source,no
0141,2026-05-22-0700-erp-workarounds-047.md,A tenant can be assigned to the right pool and still use the wrong denominator.,workflow-principle,https://www.capveri.com/resources/export-cam-mri,illustrative_example,yes
0142,2026-05-22-0800-war-stories-048.md,A review of pre-send QA belongs in CAM close before final billing.,workflow-principle,https://www.capveri.com/resources/cam-presend-checklist,post_body_statement_reviewed_against_source,no
0143,2026-05-22-0800-war-stories-048.md,1. Start with the lease rule. The best time to catch a CAM issue is before the tenant packet goes out.,workflow-principle,https://www.capveri.com/resources/cam-presend-checklist,post_body_statement_reviewed_against_source,no
