slot_id,scheduled_date,scheduled_time,timezone,platform,account,pillar,topic,source_path,source_file,source_url,content
"006","2026-06-16","19:00","America/Chicago","linkedin","capveri","caps","cap-bank","posts/linkedin/2026-06-16-1900-cap-bank-006.md","marketing/content/resources/cumulative-vs-non-cumulative-cam-caps.mdx","https://www.capveri.com/resources/cumulative-vs-non-cumulative-cam-caps","A CAM cap is not just one percentage.

A good CAM packet answers this before anyone asks:

Read the cap base, cap rate, and controllable cost language.

Cumulative caps can bank unused capacity. Non-cumulative caps reset each year.

The wrong cap type can change several years of billing.

Owner note: show what changed since last run.

The fix is boring. Save the support near the math.

Write the cap rule before running the charge.

#camreconciliation #commercialrealestate #crefinance"
"006","2026-06-16","17:00","America/Chicago","x","capveri","caps","cap-bank","posts/x/2026-06-16-1700-cap-bank-006.md","marketing/content/resources/cumulative-vs-non-cumulative-cam-caps.mdx","https://www.capveri.com/resources/cumulative-vs-non-cumulative-cam-caps","Close rule: The wrong cap type can change several years of billing. Read the cap base, cap rate, and controllable cost language."
"007","2026-06-17","10:00","America/Chicago","linkedin","capveri","admin-fees","fee-base","posts/linkedin/2026-06-17-1000-fee-base-007.md","marketing/content/resources/admin-fee-calculation-methods.mdx","https://www.capveri.com/resources/admin-fee-calculation-methods","Admin fees need a source row.

This is a useful where it breaks question:

Can a second reviewer follow the source, the rule, and the math?

The method, base, rate, cap interaction, and lease clause should be traceable.

Confirm whether the fee applies before or after exclusions.

A circular fee can make a clean pool look off.

File note: source, rule, amount, reviewer.

If the answer is no, the statement is early.

#camreconciliation #propertyaccounting #cre"
"007","2026-06-17","09:00","America/Chicago","x","capveri","admin-fees","fee-base","posts/x/2026-06-17-0900-fee-base-007.md","marketing/content/resources/admin-fee-calculation-methods.mdx","https://www.capveri.com/resources/admin-fee-calculation-methods","Admin fees need a source row. Save the method with the calculation record. Save the source row."
"008","2026-06-17","12:00","America/Chicago","linkedin","capveri","deterministic-math","same-inputs","posts/linkedin/2026-06-17-1200-same-inputs-008.md","marketing/content/resources/deterministic-vs-ai-cam.mdx","https://www.capveri.com/resources/deterministic-vs-ai-cam","CAM math has to run the same way twice.

How to close it: AI can help read documents. Deterministic rules should calculate dollars.

Humans verify extracted lease terms before they affect money.

A plausible answer is not enough for tenant billing.

Same inputs should produce the same answer.

Close note: export, lease term, math, support.

Question for the review team: where would you want proof first?

#camreconciliation #crefinance #proptech"
"008","2026-06-17","13:00","America/Chicago","x","capveri","deterministic-math","same-inputs","posts/x/2026-06-17-1300-same-inputs-008.md","marketing/content/resources/deterministic-vs-ai-cam.mdx","https://www.capveri.com/resources/deterministic-vs-ai-cam","Close rule: CAM math has to run the same way twice. Humans verify extracted lease terms before they affect money. Keep the math traceable."
"009","2026-06-17","19:00","America/Chicago","linkedin","capveri","packet","pre-send","posts/linkedin/2026-06-17-1900-pre-send-009.md","marketing/content/resources/cam-presend-checklist.mdx","https://www.capveri.com/resources/cam-presend-checklist","The packet should be ready before the tenant asks.

What to save comes before a bigger workbook.

The review needs a clear source trail.

GL, invoices, rent roll support, lease abstracts, worksheets, and fee support belong together.

Review the support before the statement goes out.

A clean packet makes the answer faster.

Keep the source beside the charge.

That is the difference between a charge and a packet.

#camreconciliation #propertymanagement #cre"
"009","2026-06-17","17:00","America/Chicago","x","capveri","packet","pre-send","posts/x/2026-06-17-1700-pre-send-009.md","marketing/content/resources/cam-presend-checklist.mdx","https://www.capveri.com/resources/cam-presend-checklist","The packet should be ready before the tenant asks. GL, invoices, rent roll support, lease abstracts, worksheets, and fee support belong together. Name the lease rule."
"010","2026-06-18","10:00","America/Chicago","linkedin","capveri","tenant-questions","document-demand","posts/linkedin/2026-06-18-1000-document-demand-010.md","marketing/content/resources/respond-tenant-documentation-demand.mdx","https://www.capveri.com/resources/respond-tenant-documentation-demand","A tenant document request is an operations test.

A good CAM packet answers this before anyone asks:

Confirm what the lease allows before sending files.

The response should track lease audit rights, record scope, redactions, delivery, and follow-up.

A messy response can make a normal review feel adversarial.

Team note: make the next reviewer faster.

The fix is boring. Save the support near the math.

Keep the response factual and organized.

#camreconciliation #propertymanagement #cre"
"010","2026-06-18","09:00","America/Chicago","x","capveri","tenant-questions","document-demand","posts/x/2026-06-18-0900-document-demand-010.md","marketing/content/resources/respond-tenant-documentation-demand.mdx","https://www.capveri.com/resources/respond-tenant-documentation-demand","Close rule: A messy response can make a normal review feel adversarial. Confirm what the lease allows before sending files."
"011","2026-06-18","12:00","America/Chicago","linkedin","capveri","boma","parallel-proof","posts/linkedin/2026-06-18-1200-parallel-proof-011.md","marketing/content/resources/boma-2024-implementation-guide.mdx","https://www.capveri.com/resources/boma-2024-implementation-guide","BOMA input changes need parallel proof.

This is a useful what to save question:

Can a second reviewer follow the source, the rule, and the math?

Measurement inputs should be checked against the lease and source records.

Run old and new inputs side by side before billing changes.

A label alone does not prove the charge is right.

Packet note: save the rule before the total.

If the answer is no, the statement is early.

#boma #camreconciliation #cre"
"011","2026-06-18","13:00","America/Chicago","x","capveri","boma","parallel-proof","posts/x/2026-06-18-1300-parallel-proof-011.md","marketing/content/resources/boma-2024-implementation-guide.mdx","https://www.capveri.com/resources/boma-2024-implementation-guide","BOMA input changes need parallel proof. Show what changed and why it applies. Tie it before billing."
"012","2026-06-18","19:00","America/Chicago","linkedin","capveri","leakage","recovery-gap","posts/linkedin/2026-06-18-1900-recovery-gap-012.md","marketing/content/resources/cam-leakage-guide.mdx","https://www.capveri.com/resources/cam-leakage-guide","CAM leakage is usually a process problem.

The second review: Leakage can come from gross-up errors, missed cap adjustments, and pro-rata mistakes.

Compare lease terms to actual billings tenant by tenant.

Small missed rules can repeat across years.

Find the rule before changing the invoice.

Control note: prove the input before the output.

Question for the review team: where would you want proof first?

#camleakage #camreconciliation #crefinance"
"012","2026-06-18","17:00","America/Chicago","x","capveri","leakage","recovery-gap","posts/x/2026-06-18-1700-recovery-gap-012.md","marketing/content/resources/cam-leakage-guide.mdx","https://www.capveri.com/resources/cam-leakage-guide","Watch item: CAM leakage is usually a process problem. Compare lease terms to actual billings tenant by tenant. Store proof with the packet."
"013","2026-06-19","10:00","America/Chicago","linkedin","capveri","export-qa","export-stack","posts/linkedin/2026-06-19-1000-export-stack-013.md","marketing/content/resources/export-guide.mdx","https://www.capveri.com/resources/export-guide","The export stack comes before the workbook.

What to save comes before a bigger workbook.

The review needs a clear source trail.

A CAM review can start from rent roll, full-year GL detail, and recovery or billing exports.

Match property, period, tenant, and charge codes before math starts.

Save the export list with the packet.

Owner note: show what changed since last run.

That is the difference between a charge and a packet.

#camreconciliation #propertyaccounting #cre"
"013","2026-06-19","09:00","America/Chicago","x","capveri","export-qa","export-stack","posts/x/2026-06-19-0900-export-stack-013.md","marketing/content/resources/export-guide.mdx","https://www.capveri.com/resources/export-guide","The export stack comes before the workbook. A CAM review can start from rent roll, full-year GL detail, and recovery or billing exports. Check the input first."
"014","2026-06-19","12:00","America/Chicago","linkedin","capveri","yardi","yardi-exports","posts/linkedin/2026-06-19-1200-yardi-exports-014.md","marketing/content/resources/export-cam-yardi-voyager.mdx","https://www.capveri.com/resources/export-cam-yardi-voyager","Yardi CAM review starts with the file set.

A good CAM packet answers this before anyone asks:

Use detail-level output for the same property and period.

Recovery Analysis, GL Analytics, and Rent Roll with Lease Charges are core Yardi exports.

A summary report can hide the row that caused the charge.

File note: source, rule, amount, reviewer.

The fix is boring. Save the support near the math.

Tie the source files before reviewing tenant shares.

#yardi #camreconciliation #crefinance"
"014","2026-06-19","13:00","America/Chicago","x","capveri","yardi","yardi-exports","posts/x/2026-06-19-1300-yardi-exports-014.md","marketing/content/resources/export-cam-yardi-voyager.mdx","https://www.capveri.com/resources/export-cam-yardi-voyager","Watch item: A summary report can hide the row that caused the charge. Use detail-level output for the same property and period."
"015","2026-06-19","19:00","America/Chicago","linkedin","capveri","mri","mri-period","posts/linkedin/2026-06-19-1900-mri-period-015.md","marketing/content/resources/export-cam-mri.mdx","https://www.capveri.com/resources/export-cam-mri","MRI review needs the right period first.

This is a useful before billing question:

Can a second reviewer follow the source, the rule, and the math?

Recovery Reconciliation, GL Transaction Detail, rent roll, and Tenant Billing History are safe MRI lanes.

Confirm entity, property, period, and tenant ID before export review.

One wrong period can make a clean statement look wrong.

Close note: export, lease term, math, support.

If the answer is no, the statement is early.

#mri #camreconciliation #propertyaccounting"
"015","2026-06-19","17:00","America/Chicago","x","capveri","mri","mri-period","posts/x/2026-06-19-1700-mri-period-015.md","marketing/content/resources/export-cam-mri.mdx","https://www.capveri.com/resources/export-cam-mri","MRI review needs the right period first. Put the period check in the packet notes. Keep the math traceable."
"016","2026-06-20","10:00","America/Chicago","linkedin","capveri","gross-up","variable-only","posts/linkedin/2026-06-20-1000-variable-only-016.md","marketing/content/resources/cam-gross-up-calculation-guide.mdx","https://www.capveri.com/resources/cam-gross-up-calculation-guide","Gross-up review starts with one split.

The second review: Variable expenses can be grossed up. Fixed costs need separate treatment.

Sort taxes, insurance, utilities, janitorial, and service costs before applying a factor.

Grossing up fixed costs can overstate the recovery pool.

The packet should show the fixed and variable split.

Keep the source beside the charge.

Question for the review team: where would you want proof first?

#camreconciliation #grossup #propertyaccounting"
"016","2026-06-20","09:00","America/Chicago","x","capveri","gross-up","variable-only","posts/x/2026-06-20-0900-variable-only-016.md","marketing/content/resources/cam-gross-up-calculation-guide.mdx","https://www.capveri.com/resources/cam-gross-up-calculation-guide","Watch item: Gross-up review starts with one split. Sort taxes, insurance, utilities, janitorial, and service costs before applying a factor. Name the lease rule."
"017","2026-06-20","12:00","America/Chicago","linkedin","capveri","pro-rata","denominator","posts/linkedin/2026-06-20-1200-denominator-017.md","marketing/content/resources/pro-rata-share-calculation.mdx","https://www.capveri.com/resources/pro-rata-share-calculation","A tenant share needs its denominator.

Before billing comes before a bigger workbook.

The review needs a clear source trail.

Tenant RSF over the lease-defined denominator drives the CAM share.

Store lease denominator, building RSF, excluded area, component area, or usage support.

Keep the denominator source next to the charge.

Team note: make the next reviewer faster.

That is the difference between a charge and a packet.

#camreconciliation #prorata #cre"
"017","2026-06-20","13:00","America/Chicago","x","capveri","pro-rata","denominator","posts/x/2026-06-20-1300-denominator-017.md","marketing/content/resources/pro-rata-share-calculation.mdx","https://www.capveri.com/resources/pro-rata-share-calculation","A tenant share needs its denominator. Tenant RSF over the lease-defined denominator drives the CAM share. Show the reviewer path."
"018","2026-06-20","19:00","America/Chicago","linkedin","capveri","caps","cap-bank","posts/linkedin/2026-06-20-1900-cap-bank-018.md","marketing/content/resources/cumulative-vs-non-cumulative-cam-caps.mdx","https://www.capveri.com/resources/cumulative-vs-non-cumulative-cam-caps","A CAM cap is not just one percentage.

A good CAM packet answers this before anyone asks:

Read the cap base, cap rate, and controllable cost language.

Cumulative caps can bank unused capacity. Non-cumulative caps reset each year.

The wrong cap type can change several years of billing.

Packet note: save the rule before the total.

The fix is boring. Save the support near the math.

Write the cap rule before running the charge.

#camreconciliation #commercialrealestate #crefinance"
"018","2026-06-20","17:00","America/Chicago","x","capveri","caps","cap-bank","posts/x/2026-06-20-1700-cap-bank-018.md","marketing/content/resources/cumulative-vs-non-cumulative-cam-caps.mdx","https://www.capveri.com/resources/cumulative-vs-non-cumulative-cam-caps","Check: The wrong cap type can change several years of billing. Read the cap base, cap rate, and controllable cost language."
"019","2026-06-21","10:00","America/Chicago","linkedin","capveri","admin-fees","fee-base","posts/linkedin/2026-06-21-1000-fee-base-019.md","marketing/content/resources/admin-fee-calculation-methods.mdx","https://www.capveri.com/resources/admin-fee-calculation-methods","Admin fees need a source row.

This is a useful before billing question:

Can a second reviewer follow the source, the rule, and the math?

The method, base, rate, cap interaction, and lease clause should be traceable.

Confirm whether the fee applies before or after exclusions.

A circular fee can make a clean pool look off.

Control note: prove the input before the output.

If the answer is no, the statement is early.

#camreconciliation #propertyaccounting #cre"
"019","2026-06-21","09:00","America/Chicago","x","capveri","admin-fees","fee-base","posts/x/2026-06-21-0900-fee-base-019.md","marketing/content/resources/admin-fee-calculation-methods.mdx","https://www.capveri.com/resources/admin-fee-calculation-methods","Admin fees need a source row. Save the method with the calculation record. Store proof with the packet."
"020","2026-06-21","12:00","America/Chicago","linkedin","capveri","deterministic-math","same-inputs","posts/linkedin/2026-06-21-1200-same-inputs-020.md","marketing/content/resources/deterministic-vs-ai-cam.mdx","https://www.capveri.com/resources/deterministic-vs-ai-cam","CAM math has to run the same way twice.

What to check: AI can help read documents. Deterministic rules should calculate dollars.

Humans verify extracted lease terms before they affect money.

A plausible answer is not enough for tenant billing.

Same inputs should produce the same answer.

Owner note: show what changed since last run.

Question for the review team: where would you want proof first?

#camreconciliation #crefinance #proptech"
"020","2026-06-21","13:00","America/Chicago","x","capveri","deterministic-math","same-inputs","posts/x/2026-06-21-1300-same-inputs-020.md","marketing/content/resources/deterministic-vs-ai-cam.mdx","https://www.capveri.com/resources/deterministic-vs-ai-cam","Check: CAM math has to run the same way twice. Humans verify extracted lease terms before they affect money. Check the input first."
"021","2026-06-21","19:00","America/Chicago","linkedin","capveri","packet","pre-send","posts/linkedin/2026-06-21-1900-pre-send-021.md","marketing/content/resources/cam-presend-checklist.mdx","https://www.capveri.com/resources/cam-presend-checklist","The packet should be ready before the tenant asks.

Why it matters comes before a bigger workbook.

The review needs a clear source trail.

GL, invoices, rent roll support, lease abstracts, worksheets, and fee support belong together.

Review the support before the statement goes out.

A clean packet makes the answer faster.

File note: source, rule, amount, reviewer.

That is the difference between a charge and a packet.

#camreconciliation #propertymanagement #cre"
"021","2026-06-21","17:00","America/Chicago","x","capveri","packet","pre-send","posts/x/2026-06-21-1700-pre-send-021.md","marketing/content/resources/cam-presend-checklist.mdx","https://www.capveri.com/resources/cam-presend-checklist","The packet should be ready before the tenant asks. GL, invoices, rent roll support, lease abstracts, worksheets, and fee support belong together. Save the source row."
"022","2026-06-22","10:00","America/Chicago","linkedin","capveri","tenant-questions","document-demand","posts/linkedin/2026-06-22-1000-document-demand-022.md","marketing/content/resources/respond-tenant-documentation-demand.mdx","https://www.capveri.com/resources/respond-tenant-documentation-demand","A tenant document request is an operations test.

A good CAM packet answers this before anyone asks:

Confirm what the lease allows before sending files.

The response should track lease audit rights, record scope, redactions, delivery, and follow-up.

A messy response can make a normal review feel adversarial.

Close note: export, lease term, math, support.

The fix is boring. Save the support near the math.

Keep the response factual and organized.

#camreconciliation #propertymanagement #cre"
"022","2026-06-22","09:00","America/Chicago","x","capveri","tenant-questions","document-demand","posts/x/2026-06-22-0900-document-demand-022.md","marketing/content/resources/respond-tenant-documentation-demand.mdx","https://www.capveri.com/resources/respond-tenant-documentation-demand","Check: A messy response can make a normal review feel adversarial. Confirm what the lease allows before sending files."
"023","2026-06-22","12:00","America/Chicago","linkedin","capveri","boma","parallel-proof","posts/linkedin/2026-06-22-1200-parallel-proof-023.md","marketing/content/resources/boma-2024-implementation-guide.mdx","https://www.capveri.com/resources/boma-2024-implementation-guide","BOMA input changes need parallel proof.

This is a useful why it matters question:

Can a second reviewer follow the source, the rule, and the math?

Measurement inputs should be checked against the lease and source records.

Run old and new inputs side by side before billing changes.

A label alone does not prove the charge is right.

Keep the source beside the charge.

If the answer is no, the statement is early.

#boma #camreconciliation #cre"
"023","2026-06-22","13:00","America/Chicago","x","capveri","boma","parallel-proof","posts/x/2026-06-22-1300-parallel-proof-023.md","marketing/content/resources/boma-2024-implementation-guide.mdx","https://www.capveri.com/resources/boma-2024-implementation-guide","BOMA input changes need parallel proof. Show what changed and why it applies. Name the lease rule."
"024","2026-06-22","19:00","America/Chicago","linkedin","capveri","leakage","recovery-gap","posts/linkedin/2026-06-22-1900-recovery-gap-024.md","marketing/content/resources/cam-leakage-guide.mdx","https://www.capveri.com/resources/cam-leakage-guide","CAM leakage is usually a process problem.

Where it breaks: Leakage can come from gross-up errors, missed cap adjustments, and pro-rata mistakes.

Compare lease terms to actual billings tenant by tenant.

Small missed rules can repeat across years.

Find the rule before changing the invoice.

Team note: make the next reviewer faster.

Question for the review team: where would you want proof first?

#camleakage #camreconciliation #crefinance"
"024","2026-06-22","17:00","America/Chicago","x","capveri","leakage","recovery-gap","posts/x/2026-06-22-1700-recovery-gap-024.md","marketing/content/resources/cam-leakage-guide.mdx","https://www.capveri.com/resources/cam-leakage-guide","Packet note: CAM leakage is usually a process problem. Compare lease terms to actual billings tenant by tenant. Show the reviewer path."
"025","2026-06-23","10:00","America/Chicago","linkedin","capveri","export-qa","export-stack","posts/linkedin/2026-06-23-1000-export-stack-025.md","marketing/content/resources/export-guide.mdx","https://www.capveri.com/resources/export-guide","The export stack comes before the workbook.

Why it matters comes before a bigger workbook.

The review needs a clear source trail.

A CAM review can start from rent roll, full-year GL detail, and recovery or billing exports.

Match property, period, tenant, and charge codes before math starts.

Save the export list with the packet.

Packet note: save the rule before the total.

That is the difference between a charge and a packet.

#camreconciliation #propertyaccounting #cre"
"025","2026-06-23","09:00","America/Chicago","x","capveri","export-qa","export-stack","posts/x/2026-06-23-0900-export-stack-025.md","marketing/content/resources/export-guide.mdx","https://www.capveri.com/resources/export-guide","The export stack comes before the workbook. A CAM review can start from rent roll, full-year GL detail, and recovery or billing exports. Tie it before billing."
"026","2026-06-23","12:00","America/Chicago","linkedin","capveri","yardi","yardi-exports","posts/linkedin/2026-06-23-1200-yardi-exports-026.md","marketing/content/resources/export-cam-yardi-voyager.mdx","https://www.capveri.com/resources/export-cam-yardi-voyager","Yardi CAM review starts with the file set.

A good CAM packet answers this before anyone asks:

Use detail-level output for the same property and period.

Recovery Analysis, GL Analytics, and Rent Roll with Lease Charges are core Yardi exports.

A summary report can hide the row that caused the charge.

Control note: prove the input before the output.

The fix is boring. Save the support near the math.

Tie the source files before reviewing tenant shares.

#yardi #camreconciliation #crefinance"
"026","2026-06-23","13:00","America/Chicago","x","capveri","yardi","yardi-exports","posts/x/2026-06-23-1300-yardi-exports-026.md","marketing/content/resources/export-cam-yardi-voyager.mdx","https://www.capveri.com/resources/export-cam-yardi-voyager","Packet note: A summary report can hide the row that caused the charge. Use detail-level output for the same property and period."
"027","2026-06-23","19:00","America/Chicago","linkedin","capveri","mri","mri-period","posts/linkedin/2026-06-23-1900-mri-period-027.md","marketing/content/resources/export-cam-mri.mdx","https://www.capveri.com/resources/export-cam-mri","MRI review needs the right period first.

This is a useful how to close it question:

Can a second reviewer follow the source, the rule, and the math?

Recovery Reconciliation, GL Transaction Detail, rent roll, and Tenant Billing History are safe MRI lanes.

Confirm entity, property, period, and tenant ID before export review.

One wrong period can make a clean statement look wrong.

Owner note: show what changed since last run.

If the answer is no, the statement is early.

#mri #camreconciliation #propertyaccounting"
"027","2026-06-23","17:00","America/Chicago","x","capveri","mri","mri-period","posts/x/2026-06-23-1700-mri-period-027.md","marketing/content/resources/export-cam-mri.mdx","https://www.capveri.com/resources/export-cam-mri","MRI review needs the right period first. Put the period check in the packet notes. Check the input first."
"028","2026-06-24","10:00","America/Chicago","linkedin","capveri","gross-up","variable-only","posts/linkedin/2026-06-24-1000-variable-only-028.md","marketing/content/resources/cam-gross-up-calculation-guide.mdx","https://www.capveri.com/resources/cam-gross-up-calculation-guide","Gross-up review starts with one split.

Where it breaks: Variable expenses can be grossed up. Fixed costs need separate treatment.

Sort taxes, insurance, utilities, janitorial, and service costs before applying a factor.

Grossing up fixed costs can overstate the recovery pool.

The packet should show the fixed and variable split.

File note: source, rule, amount, reviewer.

Question for the review team: where would you want proof first?

#camreconciliation #grossup #propertyaccounting"
"028","2026-06-24","09:00","America/Chicago","x","capveri","gross-up","variable-only","posts/x/2026-06-24-0900-variable-only-028.md","marketing/content/resources/cam-gross-up-calculation-guide.mdx","https://www.capveri.com/resources/cam-gross-up-calculation-guide","Packet note: Gross-up review starts with one split. Sort taxes, insurance, utilities, janitorial, and service costs before applying a factor. Save the source row."
"029","2026-06-24","12:00","America/Chicago","linkedin","capveri","pro-rata","denominator","posts/linkedin/2026-06-24-1200-denominator-029.md","marketing/content/resources/pro-rata-share-calculation.mdx","https://www.capveri.com/resources/pro-rata-share-calculation","A tenant share needs its denominator.

How to close it comes before a bigger workbook.

The review needs a clear source trail.

Tenant RSF over the lease-defined denominator drives the CAM share.

Store lease denominator, building RSF, excluded area, component area, or usage support.

Keep the denominator source next to the charge.

Close note: export, lease term, math, support.

That is the difference between a charge and a packet.

#camreconciliation #prorata #cre"
"029","2026-06-24","13:00","America/Chicago","x","capveri","pro-rata","denominator","posts/x/2026-06-24-1300-denominator-029.md","marketing/content/resources/pro-rata-share-calculation.mdx","https://www.capveri.com/resources/pro-rata-share-calculation","A tenant share needs its denominator. Tenant RSF over the lease-defined denominator drives the CAM share. Keep the math traceable."
"030","2026-06-24","19:00","America/Chicago","linkedin","capveri","caps","cap-bank","posts/linkedin/2026-06-24-1900-cap-bank-030.md","marketing/content/resources/cumulative-vs-non-cumulative-cam-caps.mdx","https://www.capveri.com/resources/cumulative-vs-non-cumulative-cam-caps","A CAM cap is not just one percentage.

A good CAM packet answers this before anyone asks:

Read the cap base, cap rate, and controllable cost language.

Cumulative caps can bank unused capacity. Non-cumulative caps reset each year.

The wrong cap type can change several years of billing.

Keep the source beside the charge.

The fix is boring. Save the support near the math.

Write the cap rule before running the charge.

#camreconciliation #commercialrealestate #crefinance"
"030","2026-06-24","17:00","America/Chicago","x","capveri","caps","cap-bank","posts/x/2026-06-24-1700-cap-bank-030.md","marketing/content/resources/cumulative-vs-non-cumulative-cam-caps.mdx","https://www.capveri.com/resources/cumulative-vs-non-cumulative-cam-caps","Review: The wrong cap type can change several years of billing. Read the cap base, cap rate, and controllable cost language."
"031","2026-06-25","10:00","America/Chicago","linkedin","capveri","admin-fees","fee-base","posts/linkedin/2026-06-25-1000-fee-base-031.md","marketing/content/resources/admin-fee-calculation-methods.mdx","https://www.capveri.com/resources/admin-fee-calculation-methods","Admin fees need a source row.

This is a useful how to close it question:

Can a second reviewer follow the source, the rule, and the math?

The method, base, rate, cap interaction, and lease clause should be traceable.

Confirm whether the fee applies before or after exclusions.

A circular fee can make a clean pool look off.

Team note: make the next reviewer faster.

If the answer is no, the statement is early.

#camreconciliation #propertyaccounting #cre"
"031","2026-06-25","09:00","America/Chicago","x","capveri","admin-fees","fee-base","posts/x/2026-06-25-0900-fee-base-031.md","marketing/content/resources/admin-fee-calculation-methods.mdx","https://www.capveri.com/resources/admin-fee-calculation-methods","Admin fees need a source row. Save the method with the calculation record. Show the reviewer path."
"032","2026-06-25","12:00","America/Chicago","linkedin","capveri","deterministic-math","same-inputs","posts/linkedin/2026-06-25-1200-same-inputs-032.md","marketing/content/resources/deterministic-vs-ai-cam.mdx","https://www.capveri.com/resources/deterministic-vs-ai-cam","CAM math has to run the same way twice.

What to save: AI can help read documents. Deterministic rules should calculate dollars.

Humans verify extracted lease terms before they affect money.

A plausible answer is not enough for tenant billing.

Same inputs should produce the same answer.

Packet note: save the rule before the total.

Question for the review team: where would you want proof first?

#camreconciliation #crefinance #proptech"
"032","2026-06-25","13:00","America/Chicago","x","capveri","deterministic-math","same-inputs","posts/x/2026-06-25-1300-same-inputs-032.md","marketing/content/resources/deterministic-vs-ai-cam.mdx","https://www.capveri.com/resources/deterministic-vs-ai-cam","Review: CAM math has to run the same way twice. Humans verify extracted lease terms before they affect money. Tie it before billing."
