claim_id,post_file,claim_text,claim_type,attributed_source,needs_verification,is_illustrative
0090,2026-05-18-1500-cam-math-090.md,"A 15% or more year-over-year increase in any single category should trigger a mid-year estimate adjustment, not a wait-and-see approach until the true-up.",percentage,,no,no
0091,2026-05-18-1700-founder-092.md,"BOMA EER and IREM Income/Expense Analysis benchmarks put CAM recovery leakage at up to 3.5% of the total operating expense recovery pool, varying by property type.",industry-stat,,yes,no
0092,2026-05-18-1700-founder-092.md,"If the denominator used in the allocation calculation doesn't match the current lease exhibit (remeasurement, BOMA methodology change, new tenants on the floor), every tenant on that floor is receiving an incorrect allocation.",industry-stat,,yes,no
0093,2026-05-19-0600-cam-math-096.md,"BOMA 2024 adoption is a 6 to 12-month process, not a system update.",industry-stat,,yes,no
0094,2026-05-19-0600-cam-math-096.md,"Three decisions before the system update: review lease language (does each tenant's lease say ""BOMA standards as amended"" or does it reference a specific version?), run dual measurements (you need both BOMA 2017 and BOMA 2024 numbers to show tenants the before-and-after), and model the recovery imp…",industry-stat,,yes,no
0095,2026-05-19-0700-erp-workarounds-097.md,"When the lease is amended and the gross-up threshold changes from 95% to 90%, Yardi continues using 95% until someone manually updates the configuration.",vendor-product,,yes,no
0096,2026-05-19-0700-erp-workarounds-097.md,"A 200,000 SF building adding three new sub-accounts can lose $43,200 per year in unrecovered expenses $720,000 in property value at a 6% cap rate.",percentage,,no,no
0097,2026-05-19-0700-erp-workarounds-097.md,Export Yardi's recovery detail.,vendor-product,,yes,no
0098,2026-05-19-1000-cam-math-100.md,"A 100,000 SF Class A office building remeasured under BOMA 2024 gains 4,800 RSF without a single square foot of new construction.",industry-stat,,yes,no
0099,2026-05-19-1000-cam-math-100.md,"At a 6.5% cap rate, that $47,000 translates to $723,000 in lost property value.",percentage,,no,no
0100,2026-05-19-1100-industry-news-101.md,"""Dallas-Fort Worth absorbed more than 150 million square feet of new industrial space between 2020 and 2025, per CBRE Dallas market research.",industry-stat,CBRE Dallas,yes,no
0101,2026-05-19-1100-industry-news-101.md,"Property tax increases of 8-11% are projected for 2026, per Dallas Central Appraisal District estimates.",percentage,Dallas Central Appraisal District,yes,no
0102,2026-05-19-1100-industry-news-101.md,"Hail damage insurance premiums in North Texas have risen sharply since 2022, with some carriers reporting 15-30% increases per renewal cycle.""",percentage,,yes,no
0103,2026-05-19-1200-cam-math-102.md,"A $1.1M expense pool losing $11,000 for every percentage point of recovery shortfall - and most controllers can't tell you their recovery ratio without running a new report.",dollar-figure,,no,no
0104,2026-05-19-1200-cam-math-102.md,"Benchmarks: NNN office 85-95%, retail 80-90%, industrial 90-98%.",percentage,,no,no
0105,2026-05-19-1200-cam-math-102.md,"At a 6% cap rate, one point of recovery is worth $183,333 in property value.",percentage,,no,no
0106,2026-05-19-1300-erp-workarounds-103.md,"A Yardi export that ""looks right"" still fails reconciliation.",vendor-product,,yes,no
0107,2026-05-19-1300-erp-workarounds-103.md,"Yardi exports fail in the setup layer, not the math layer.",vendor-product,,yes,no
0108,2026-05-19-1300-erp-workarounds-103.md,"The three exports that cover a complete CAM reconciliation: Recovery Analysis (what Yardi thinks each tenant owes, by pool), General Ledger Analytics (the expense detail feeding those pools), and Rent Roll with Lease Charges (tenant roster, square footage, lease timing).",vendor-product,,yes,no
0109,2026-05-19-1500-cam-math-105.md,"Forty percent of manual CAM reconciliations contain material errors, according to BOMA industry research.",industry-stat,BOMA,yes,no
0110,2026-05-19-1600-anti-integration-106.md,"Cost for a mid-market portfolio: $500,000 to $2M.",dollar-figure,,no,no
0111,2026-05-19-1600-anti-integration-106.md,"When a lease is amended and the gross-up threshold changes from 95% to 90%, Yardi continues using 95% until someone manually updates the configuration.",vendor-product,,yes,no
0112,2026-05-19-1600-anti-integration-106.md,The workflow: export GL data from Yardi as CSV (the same export your property accountant already produces for year-end close).,vendor-product,,yes,no
0113,2026-05-19-1600-anti-integration-106.md,They typically charge 20-40% of the amount they recover for the tenant.,percentage,,no,no
0114,2026-05-19-1700-founder-107.md,"It reads your GL data and recalculates from the lease terms, using BOMA 2024 standards.",industry-stat,,yes,no
0115,2026-05-20-0600-cam-math-111.md,"A BOMA remeasurement in 2019 that reduced certified GLA from 90,000 SF to 85,000 SF, with the system still using 90,000 SF, understates every tenant's share by 5.9%.",industry-stat,,yes,no
0116,2026-05-20-0700-erp-workarounds-112.md,MRI can run a reconciliation export correctly and still be operationally incomplete.,vendor-product,,yes,no
0117,2026-05-20-0700-erp-workarounds-112.md,"The three core exports for a complete MRI reconciliation: Recovery Reconciliation (what MRI thinks each tenant owes, by recovery type), GL Transaction Detail (the line-item transactions feeding the recovery totals), and Rent Roll (tenant roster, square footage, lease timing).",vendor-product,,yes,no
0118,2026-05-20-0700-erp-workarounds-112.md,"MRI is calculating from an incomplete pool, and the report gives no indication that anything is missing.",vendor-product,,yes,no
0119,2026-05-20-0800-war-stories-113.md,"Based on BOMA EER and IREM Income/Expense Analysis benchmarks, typical annual leakage by property type runs:",industry-stat,,yes,no
0120,2026-05-20-0800-war-stories-113.md,"At a 6% cap rate: $500,000 in suppressed asset value.",percentage,,no,no
0121,2026-05-20-0800-war-stories-113.md,At a 6% cap rate: $1.46M in suppressed asset value.,percentage,,no,no
0122,2026-05-20-1000-cam-math-115.md,"When the denominator shifts, every tenant's share recalculates. even if their own space and the total expense pool stay exactly the same. - Five things move the denominator: BOMA remeasurement under a new standard, an anchor tenant vacating or arriving, a tenant starting or stopping self-maintenanc…",industry-stat,,yes,no
0123,2026-05-20-1000-cam-math-115.md,"That's a 29% increase in their CAM bill from nothing except a vacancy event they didn't cause. - Document every denominator change: what changed, the old and new values, per-tenant impact, effective date, and the supporting measurement certificate or lease event.",percentage,,no,no
0124,2026-05-20-1100-industry-news-116.md,Houston's office vacancy rate is 26.5%.,percentage,,no,no
0125,2026-05-20-1100-industry-news-116.md,"At 26.5% vacancy, the multiplier is nearly 1.3x, which makes this error more expensive than in any other major market.",percentage,,no,no
0126,2026-05-20-1200-cam-math-117.md,"Year 2: BOMA remeasurement adds 3,200 SF.",industry-stat,,yes,no
0127,2026-05-20-1300-erp-workarounds-118.md,"""RealPage's export formatting requires more cleanup than Yardi or MRI.",vendor-product,,yes,no
0128,2026-05-20-1500-cam-math-120.md,A 10% vacancy forces remaining tenants to absorb costs from empty space they have nothing to do with.,percentage,,no,no
0129,2026-05-20-1500-cam-math-120.md,"A BOMA remeasurement that reduced certified GLA from 90,000 SF to 85,000 SF in 2019, with the system still using 90,000 SF. that understates every tenant's share by 5.9% for the next five years.",industry-stat,,yes,no
0130,2026-05-20-1600-anti-integration-121.md,Raymond Panko's spreadsheet error research (published via EuSpRIG) found errors in 88% of corporate spreadsheet models -- with formula cells being the primary failure point.,industry-stat,EuSpRIG,yes,no
0131,2026-05-21-0600-cam-math-126.md,"A 55% year-over-year increase almost always signals a capital project (compressor replacement, rooftop unit overhaul) that was coded to operating maintenance rather than CapEx.",percentage,,no,no
0132,2026-05-21-0700-erp-workarounds-127.md,Gross-up disabled for a building at 78% occupancy: landlord absorbs all vacancy cost variance.,percentage,,no,no
0133,2026-05-21-0900-anti-integration-129.md,ASC 842 raised documentation standards.,legal-regulatory,,yes,no
0134,2026-05-21-1100-industry-news-131.md,Property tax is typically 25-40% of the total CAM pool.,percentage,,no,no
0135,2026-05-21-1100-industry-news-131.md,"""Property tax: 25-40% of CAM pool"" (over intro)",percentage,,no,no
0136,2026-05-21-1300-erp-workarounds-133.md,"""The Yardi export doesn't balance"" does not mean the Yardi calculation is wrong.",vendor-product,,yes,no
0137,2026-05-21-1300-erp-workarounds-133.md,"When a Yardi GL export fails to tie to the financial statements, teams often jump straight into tenant-level analysis.",vendor-product,,yes,no
0138,2026-05-21-1400-war-stories-134.md,"Cell A44, a $142,000 annual insurance premium. was excluded from the sum.",dollar-figure,,no,no
0139,2026-05-21-1600-anti-integration-136.md,Raymond Panko's spreadsheet error research (published via EuSpRIG) found errors in 88% of corporate spreadsheet models.,industry-stat,EuSpRIG,yes,no
0140,2026-05-21-1700-founder-137.md,"The expectation going in was that errors would be concentrated in complex lease structures: large portfolios, sophisticated tenants with detailed negotiated exclusions, unusual BOMA methodology variations.",industry-stat,,yes,no
0141,2026-05-21-1800-cam-math-138.md,"A BOMA remeasurement had reduced each building's certified GLA, but the update never made it into the system's lease flags.",industry-stat,,yes,no
0142,2026-05-22-0700-erp-workarounds-142.md,"Yardi processes CAM calculations through five configuration layers in sequence: recovery pool, charge code, lease setup, billing setup, and manual overrides.",vendor-product,,yes,no
0143,2026-05-22-0800-war-stories-143.md,"In California, SB 1103 added a multiplier.",legal-regulatory,,yes,no
0144,2026-05-22-0800-war-stories-143.md,"The four steps that address the most common causes before statements go out: scrub the GL to remove non-recoverable expenses; separate fixed and variable pools before applying any gross-up; flag any expense category with year-over-year growth above 5-10%; and run the gross-up factor, denominator, c…",percentage,,no,no
0145,2026-05-22-0900-anti-integration-144.md,"For a 20-property office portfolio with $38M in recoverable expenses and an 87% recovery ratio, the gap to an 92% benchmark is $1.9M per year.",percentage,,no,no
0146,2026-05-22-1200-cam-math-147.md,"Three years of audit exposure, seven tenants who each held the same exclusion, at a 12% average pro-rata share.",percentage,,no,no
0147,2026-05-22-1200-cam-math-147.md,The controller who had set up the CAM pool in Yardi in 2019 had mapped a corporate accounting category that included both operating management costs and debt service allocations.,vendor-product,,yes,no
0148,2026-05-22-1300-erp-workarounds-148.md,Six fields in the Yardi recovery pool setup control 90% of the CAM calculation.,vendor-product,,yes,no
0149,2026-05-22-1600-anti-integration-151.md,"For a typical 15-property portfolio, the time distribution looks like this: waiting for GL close and data gathering (20-25%), manual ERP-vs-lease verification (25-30%), rework from errors discovered late (20-25%), statement drafting and formatting (15-20%), review and approval (10-15%).",percentage,,no,no
0150,2026-05-23-0830-war-stories-157.md,California: SB 1103 requires a specific demand sequence before treble damages attach for qualifying small-business tenants.,legal-regulatory,,yes,no
0151,2026-05-23-1000-cam-math-158.md,The tenant's pro-rata share of the office portion of the building: 8.5%.,percentage,,no,no
0152,2026-05-23-1130-anti-integration-159.md,"For a typical 15-property portfolio, 65-80% of reconciliation time goes to three categories that have nothing to do with headcount: waiting for GL close and data gathering, manual ERP-versus-lease verification, and rework from errors discovered late in the process.",percentage,,no,no
0153,2026-05-23-1130-anti-integration-159.md,California SB 1103 sets an 18-month hard limit from the date of the tenant's written request.,legal-regulatory,,yes,no
0154,2026-05-23-1300-cam-math-160.md,"A reconciliation that follows BOMA standards can be explained and defended in the same language tenants, their auditors, and courts use.",industry-stat,,yes,no
0155,2026-05-23-1300-cam-math-160.md,A reconciliation that deviates from BOMA requires justification.,industry-stat,,yes,no
0156,2026-05-23-1430-war-stories-161.md,"Contingency fees of 30-50% of recoveries, a majority finding rate across engagements, and technology that reduced the cost of doing an audit. these are the conditions that sustain a professional services market.",percentage,,no,no
0157,2026-05-23-1430-war-stories-161.md,"They are initiated because ASC 842 made CPAs look at CAM statements, because a lease is expiring and the tenant is doing a full cost review, or because another tenant in the building mentioned they had found errors.",legal-regulatory,,yes,no
0158,2026-05-23-1600-cam-math-162.md,"The firm's auditor had found that the building had been re-measured under BOMA 2024 in 2023, increasing total certified RSF from 182,000 to 188,400.",industry-stat,,yes,no
0159,2026-05-23-1600-cam-math-162.md,Surprised the controller: two other tenants in the building had leases executed after the BOMA 2024 re-measurement.,industry-stat,,yes,no
0160,2026-05-23-1600-cam-math-162.md,The building was simultaneously overbilling some tenants and underbilling others. using the same wrong denominator. because the BOMA 2024 update had never been reconciled against what was in the billing system.,industry-stat,,yes,no
0161,2026-05-23-1600-cam-math-162.md,BOMA 2024 reclassified outdoor amenity spaces as rentable SF and eliminated load factors on balconies and rooftop terraces.,industry-stat,,yes,no
0162,2026-05-23-1600-cam-math-162.md,The net effect across a typical building: 2 to 5% RSF increase.,percentage,,no,no
0163,2026-05-23-1600-cam-math-162.md,"When mixed-vintage leases exist in the same building. some under BOMA 2017, some under BOMA 2024. document which denominator applies to which tenant and run the math separately.",industry-stat,,yes,no
0164,2026-05-23-1730-founder-163.md,BOMA 2024 standards.,industry-stat,,yes,no
0165,2026-05-23-1900-anti-integration-164.md,"At a 5% cost of capital, that is $2,500 in carrying cost.",percentage,,no,no
0166,2026-05-23-1900-anti-integration-164.md,California SB 1103,legal-regulatory,,yes,no
0167,2026-05-23-1900-anti-integration-164.md,California's SB 1103 sets an 18-month hard limit from the date of the tenant's written request.,legal-regulatory,,yes,no
0168,2026-05-23-2030-engagement-165.md,A take worth examining: BOMA measurement standards are overkill for most commercial leases.,industry-stat,,yes,no
0169,2026-05-23-2030-engagement-165.md,"The argument goes: most tenants aren't going to audit the floor plan measurement, and remeasuring to BOMA 2024 creates more disputes than it resolves.",industry-stat,,yes,no
0170,2026-05-23-2030-engagement-165.md,"If those measurements were done to older standards, and a new tenant's space was measured to BOMA 2024, the denominator is inconsistent.",industry-stat,,yes,no
0171,2026-05-23-2030-engagement-165.md,BOMA 2024 consistency is not about precision for its own sake.,industry-stat,,yes,no
0172,2026-05-24-0700-cam-math-166.md,The building's asset manager had been pushing to adopt BOMA 2024 for two years.,industry-stat,,yes,no
0173,2026-05-24-0700-cam-math-166.md,"When the re-measurement came back under BOMA 2024, the certified RSF was 223,800 SF.",industry-stat,,yes,no
0174,2026-05-24-0700-cam-math-166.md,"For tenants with renewal options that referenced ""BOMA standards as amended,"" the new denominator applied on renewal.",industry-stat,,yes,no
0175,2026-05-24-0700-cam-math-166.md,"For tenants with leases that said ""measured in accordance with BOMA standards as of the lease commencement date,"" the old denominator still applied.",industry-stat,,yes,no
