keyword,search_volume,keyword_difficulty,rank_absolute,etv,url
classes of assets,2900,30,31,6.09,https://help.occupier.com/knowledge/what-are-asset-classes
commercial lease contracts,2900,13,40,6.09,https://www.occupier.com/blog/commercial-lease-agreements/
commercial leasing contract,2900,15,44,6.09,https://www.occupier.com/blog/commercial-lease-agreements/
commercial leasing contracts,2900,1,87,6.09,https://www.occupier.com/blog/commercial-lease-agreements/
improvements to leasehold property,2900,,60,6.09,https://www.occupier.com/blog/leasehold-improvements/
leasehold improvements,2900,,63,6.09,https://www.occupier.com/blog/leasehold-improvements/
proptech,2900,37,51,6.09,https://www.occupier.com/blog/what-is-proptech-a-new-era/
rental agreement for commercial property,2900,,57,6.09,https://www.occupier.com/blog/commercial-lease-agreements/
small commercial property to rent,2900,29,72,6.09,https://www.occupier.com/blog/commercial-rent-structure/
what is a lessee,2900,6,28,6.09,https://www.occupier.com/blog/lessee-vs-lessor/
what is allocation,2900,9,51,6.09,https://help.occupier.com/knowledge/what-are-allocations-and-how-does-occupier-help
who is the lessor,2900,6,71,6.09,https://www.occupier.com/blog/lessee-vs-lessor-accounting/
cotenancy,170,,9,5.746,https://www.occupier.com/blog/what-is-co-tenancy/
operating leasing,1000,6,19,5.6,https://help.occupier.com/knowledge/what-is-an-operating-lease?hsLang=en
difference between lessee and lessor,480,6,12,5.424,https://www.occupier.com/blog/lessee-vs-lessor/
what is a lessor and lessee,590,,14,5.369,https://www.occupier.com/blog/lessee-vs-lessor/
what is lessee and lessor,590,6,16,5.369,https://www.occupier.com/blog/lessee-vs-lessor/
define lessor and lessee,880,6,16,5.192,https://www.occupier.com/blog/lessee-vs-lessor/
retail store location,110,5,7,5.159,https://www.occupier.com/blog/retail-location/
accounting memorandum,260,,10,5.122,https://www.occupier.com/blog/write-lease-accounting-policy-memo/
journal entry of impairment loss,260,,12,5.122,https://www.occupier.com/blog/journal-entries-post-impairment/
lease expiry,260,,10,5.122,https://www.occupier.com/blog/lease-expiration-date/
calculating ibr,2400,10,39,5.04,https://www.occupier.com/blog/ultimate-guide-to-ibr-the-incremental-borrowing-rate/
how to get out a lease early,2400,,59,5.04,https://www.occupier.com/blog/lease-termination-steps-to-exit/
how to get out of lease early,2400,6,65,5.04,https://www.occupier.com/blog/lease-termination-steps-to-exit/
leasing a building,2400,15,67,5.04,https://www.occupier.com/blog/commercial-rent-structure/
management software real estate,2400,94,76,5.04,https://www.occupier.com/product/transaction-management/
nnn lease meaning,2400,4,92,5.04,https://www.occupier.com/blog/triple-net-leases/
nnn meaning lease,2400,10,94,5.04,https://www.occupier.com/blog/triple-net-leases/
soc 1 report,2400,11,59,5.04,https://www.occupier.com/blog/soc-1-report/
soc 1 reports,2400,9,55,5.04,https://www.occupier.com/blog/soc-1-report/
soc1 report,2400,23,66,5.04,https://www.occupier.com/blog/soc-1-report/
what is triple net lease,2400,6,91,5.04,https://www.occupier.com/blog/triple-net-lease/
commercial lease abstract template,50,,4,4.865,https://www.occupier.com/blog/pillars-commercial-lease-abstraction/
leasing depreciation,50,,5,4.865,https://www.occupier.com/blog/depreciation-and-amortization/
co-tenant,320,5,12,4.8,https://www.occupier.com/blog/what-is-co-tenancy/
straight-line amortization formula,320,3,12,4.8,https://www.occupier.com/blog/straight-line-expense-calculation/
co-tenancy clause,140,,9,4.732,https://www.occupier.com/blog/what-is-co-tenancy/
coi in real estate,140,,8,4.732,https://www.occupier.com/blog/what-is-a-certificate-of-insurance/
lease impairment,70,,6,4.613,https://www.occupier.com/blog/lease-impairments/
right of use asset journal entry,70,,5,4.613,https://www.occupier.com/blog/rou-asset-journal-entry/
right-of-use asset journal entry,70,,7,4.613,https://www.occupier.com/blog/rou-asset-journal-entry/
renting business property,590,14,18,4.425,https://www.occupier.com/blog/commercial-rent-structure/
ai lease abstraction,390,1,12,4.407,https://www.occupier.com/solutions/by-services/lease-abstraction-services/
lease administration,480,3,14,4.368,https://www.occupier.com/product/lease-administration/
lessee and lessor difference,480,,14,4.368,https://www.occupier.com/blog/lessee-vs-lessor/
roll forward,720,,19,4.248,https://www.occupier.com/blog/what-is-roll-forward-report/
impairment review,210,3,12,4.137,https://www.occupier.com/blog/annual-impairment-test/
renting a commercial building,720,,17,4.032,https://www.occupier.com/blog/commercial-rent-structure/
asc 842 lease accounting,1900,18,51,3.99,https://www.occupier.com/blog/mastering-finance-lease-accounting/
commercial real estate for lease,1900,76,83,3.99,https://www.occupier.com/blog/commercial-rent-structure/
is depreciation an operating expense,1900,,94,3.99,https://www.occupier.com/blog/depreciation-and-amortization/
lease accounting asc 842,1900,20,51,3.99,https://www.occupier.com/blog/mastering-finance-lease-accounting/
percentage rent income,1900,5,56,3.99,https://www.occupier.com/blog/percentage-lease/
rental income ratio,1900,9,72,3.99,https://www.occupier.com/blog/lease-to-rent-revenue-ratio/
transaction management real estate software,1900,36,52,3.99,https://www.occupier.com/product/transaction-management/
transaction management software for real estate,1900,22,75,3.99,https://www.occupier.com/product/transaction-management/
transaction management software real estate,1900,37,60,3.99,https://www.occupier.com/product/transaction-management/
what are insurance certificates,1900,9,103,3.99,https://www.occupier.com/blog/what-is-a-certificate-of-insurance/
what is a nnn lease,1900,8,107,3.99,https://www.occupier.com/blog/triple-net-leases/
what is lessee,1900,,40,3.99,https://www.occupier.com/blog/lessee-vs-lessor/
what is nnn lease,1900,1,92,3.99,https://www.occupier.com/blog/triple-net-leases/
lease improvement allowance,1600,4,25,3.84,https://www.occupier.com/blog/tenant-improvement-allowance-accounting/
commercial lease calculator,720,10,17,3.672,https://www.occupier.com/blog/percentage-rent-in-leases/
co tenant,320,4,14,3.616,https://www.occupier.com/blog/what-is-co-tenancy/
is lessor the landlord,320,,12,3.616,https://www.occupier.com/blog/lessee-vs-lessor/
amortization depreciation,1300,12,25,3.51,https://www.occupier.com/blog/depreciation-and-amortization/
co-retailing,1600,,30,3.36,https://www.occupier.com/blog/cotenancy-for-retailers/
equipment lease agreements,1600,6,70,3.36,https://www.occupier.com/blog/equipment-lease-accounting/
lease agreement cancellation,1600,,82,3.36,https://www.occupier.com/blog/lease-termination-steps-to-exit/
lease contract termination,1600,,29,3.36,https://www.occupier.com/blog/lease-termination-steps-to-exit/
lease end agreement,1600,,77,3.36,https://www.occupier.com/blog/lease-termination-steps-to-exit/
leased equipment,1600,,102,3.36,https://www.occupier.com/blog/equipment-lease-accounting/
leasehold improvement allowance,1600,,55,3.36,https://www.occupier.com/blog/tenant-improvement-allowance-accounting/
letter of intent real estate,1600,,53,3.36,https://www.occupier.com/blog/letter-of-intent/
right of use asset,1600,8,33,3.36,https://www.occupier.com/blog/rou-asset-journal-entry/
right-of-use asset,1600,,28,3.36,https://www.occupier.com/blog/guide-to-rou-assets-calculate/
right-of-use assets,1600,,28,3.36,https://www.occupier.com/blog/guide-to-rou-assets-calculate/
terminate lease contract,1600,6,50,3.36,https://www.occupier.com/blog/lease-termination-steps-to-exit/
termination of lease,1600,10,48,3.36,https://www.occupier.com/blog/lease-termination-steps-to-exit/
what are cam fees,1600,10,38,3.36,https://www.occupier.com/blog/cam-charges-a-guide-to-common-area-maintenance/
what does a triple net lease mean,1600,11,94,3.36,https://www.occupier.com/blog/triple-net-lease/
what does triple net lease mean,1600,,76,3.36,https://www.occupier.com/blog/triple-net-lease/
what is a cam fee,1600,6,37,3.36,https://www.occupier.com/blog/cam-charges-a-guide-to-common-area-maintenance/
what is cam fee,1600,6,77,3.36,https://www.occupier.com/blog/cam-charges-a-guide-to-common-area-maintenance/
lease abstract,590,,18,3.304,https://www.occupier.com/blog/pillars-commercial-lease-abstraction/
lessor of real estate,590,,18,3.304,https://www.occupier.com/blog/lessee-vs-lessor/
implied interest rate,70,7,7,3.283,https://www.occupier.com/blog/calculate-implicit-interest-rate-lease/
what is a lessee and lessor,590,,19,3.009,https://www.occupier.com/blog/lessee-vs-lessor/
rou assets meaning,390,,16,2.925,https://www.occupier.com/blog/guide-to-rou-assets-calculate/
termination of lease by landlord,390,3,16,2.925,https://help.occupier.com/knowledge/what-are-lease-terminations
calculate straight line amortization,320,21,15,2.912,https://www.occupier.com/blog/straight-line-expense-calculation/
lease tracking,880,13,22,2.904,https://www.occupier.com/blog/lease-tracking-software/
