keyword,search_volume,keyword_difficulty,rank_absolute,etv,url
grid layout store,170,,3,51.68,https://tangoanalytics.com/blog/store-layout-examples/
grid layout stores,170,,2,51.68,https://tangoanalytics.com/blog/store-layout-examples/
grid store layout,170,,4,51.68,https://tangoanalytics.com/blog/store-layout-examples/
grid store layouts,170,,3,51.68,https://tangoanalytics.com/blog/store-layout-examples/
store layout grid,170,,3,51.68,https://tangoanalytics.com/blog/store-layout-examples/
what is deferred rent,170,,2,51.68,https://tangoanalytics.com/blog/deferred-rent/
tango application,14800,71,21,48.84,https://tangoanalytics.com/
hybrid schedule,720,,7,47.448,https://tangoanalytics.com/blog/hybrid-work-schedules/
operating lease vs capital lease,1000,,7,46.9,https://tangoanalytics.com/blog/finance-lease-operating-lease/
leasehold improvement meaning,480,,5,46.704,https://tangoanalytics.com/blog/leasehold-improvements/
layout design retail store,260,15,3,42.12,https://tangoanalytics.com/blog/store-layout-examples/
lease abstract,590,,7,38.881,https://tangoanalytics.com/blog/lease-abstracts/
facilities and management,18100,36,66,38.01,https://tangoanalytics.com/blog/facility-management/
facility management,18100,36,38,38.01,https://tangoanalytics.com/blog/facility-management/
management of building,2400,3,12,36,https://tangoanalytics.com/blog/facility-management/
tango app,14800,51,28,34.04,https://tangoanalytics.com/
facility plans,320,,6,31.136,https://tangoanalytics.com/blog/facility-planning/
greenwashing,14800,60,54,31.08,https://tangoanalytics.com/blog/what-is-greenwashing/
calculating percentage rent,90,,2,27.36,https://tangoanalytics.com/blog/percentage-rent/
example of store layout,90,2,2,27.36,https://tangoanalytics.com/blog/store-layout-examples/
examples of store layout,90,,2,27.36,https://tangoanalytics.com/blog/store-layout-examples/
percentage rent calculation,90,,2,27.36,https://tangoanalytics.com/blog/percentage-rent/
store layout example,90,,2,27.36,https://tangoanalytics.com/blog/store-layout-examples/
store layout examples,90,2,2,27.36,https://tangoanalytics.com/blog/store-layout-examples/
retail layout design,260,1,4,25.298,https://tangoanalytics.com/blog/store-layout-examples/
building and facility management,720,18,8,24.336,https://tangoanalytics.com/blog/facility-management/
tango ai,880,35,11,22.528,https://tangoanalytics.com/technology/artificial-intelligence/
finance versus operating lease,2400,,17,21.84,https://tangoanalytics.com/blog/finance-lease-operating-lease/
deferred rent meaning,70,,2,21.28,https://tangoanalytics.com/blog/deferred-rent/
tango reserve,70,,1,21.28,https://tangoanalytics.com/products/tango-reserve/
tango trends,3600,,15,21.24,https://tangoanalytics.com/news/
what is a hybrid work schedule,320,9,6,21.088,https://tangoanalytics.com/blog/hybrid-work-schedules/
retail industry newsletters,9900,53,40,20.79,https://info.tangoanalytics.com/future-of-retail-newsletter
net area,210,,6,20.433,https://tangoanalytics.com/blog/whats-the-difference-between-net-area-and-net-floor-area/
storefront examples,210,3,6,20.433,https://tangoanalytics.com/blog/store-layout-examples/
capitalized lease vs operating lease,1300,,14,19.5,https://tangoanalytics.com/blog/finance-lease-operating-lease/
profiling customers,2400,15,17,18,https://tangoanalytics.com/blog/customer-profiling/
jobs tango,110,,2,17.82,https://tangoanalytics.com/careers/
retail store layout design,260,1,5,17.134,https://tangoanalytics.com/blog/store-layout-examples/
decarbonization strategies,170,,5,16.541,https://tangoanalytics.com/blog/decarbonization-strategies/
leasehold improvement definition,480,,8,16.224,https://tangoanalytics.com/blog/leasehold-improvements/
location strategy,480,,8,16.224,https://tangoanalytics.com/blog/location-strategy/
deferred rental revenue,50,,2,15.2,https://tangoanalytics.com/blog/deferred-rent/
space utilization sensors,50,4,1,15.2,https://tangoanalytics.com/blog/space-utilization-sensors/
tango management consulting,50,5,1,15.2,https://tangoanalytics.com/
tango projects,50,3,1,15.2,https://tangoanalytics.com/products/tango-projects/
galardi group inc,590,,8,15.104,https://tangoanalytics.com/news/galardi-group-inc-turns-to-tango-to-accelerate-expansion-plans/
retail store design,590,16,9,15.104,https://tangoanalytics.com/blog/store-layout-examples/
facilities plans,320,,7,15.008,https://tangoanalytics.com/blog/facility-planning/
retail store floor plan,320,,6,15.008,https://tangoanalytics.com/blog/store-layout-examples/
calculate percentage rent,90,,3,14.58,https://tangoanalytics.com/blog/percentage-rent/
rent deferred,90,,4,14.58,https://tangoanalytics.com/blog/deferred-rent/
space allocation,90,,4,14.58,https://tangoanalytics.com/blog/space-allocation/
store layout sample,90,,3,14.58,https://tangoanalytics.com/blog/store-layout-examples/
what is an embedded lease,90,,3,14.58,https://tangoanalytics.com/blog/embedded-leases/
what is embedded lease,90,,4,14.58,https://tangoanalytics.com/blog/embedded-leases/
franchise in marketing,1600,4,15,14.56,https://tangoanalytics.com/blog/franchise-marketing/
types store,1900,2,16,14.25,https://tangoanalytics.com/blog/store-layout-examples/
operating vs financial lease,2400,,19,14.16,https://tangoanalytics.com/blog/finance-lease-operating-lease/
what is percentage rent,140,,5,13.622,https://tangoanalytics.com/blog/percentage-rent/
building and facilities,880,8,16,13.2,https://tangoanalytics.com/blog/facility-management/
grocery stores layout,880,,16,13.2,https://tangoanalytics.com/blog/store-layout-examples/
location for restaurant,880,,11,13.2,https://tangoanalytics.com/blog/location-important-restaurant/
capital lease vs finance lease,390,,9,13.182,https://tangoanalytics.com/blog/finance-lease-operating-lease/
facility planning and management,390,33,8,13.182,https://tangoanalytics.com/blog/facility-planning/
store design and layout,390,7,7,13.182,https://tangoanalytics.com/blog/store-layout-examples/
location strategies,480,,10,12.288,https://tangoanalytics.com/blog/location-strategy/
operating lease vs finance lease,2400,,19,12.24,https://tangoanalytics.com/blog/finance-lease-operating-lease/
operating versus finance lease,2400,,19,12.24,https://tangoanalytics.com/blog/finance-lease-operating-lease/
retail store design and layout,260,,8,12.194,https://tangoanalytics.com/blog/store-layout-examples/
stack plan,260,,7,12.194,https://tangoanalytics.com/blog/stack-planning/
what is a hybrid schedule,260,24,8,12.194,https://tangoanalytics.com/blog/hybrid-work-schedules/
capital or operating lease,1300,,15,11.83,https://tangoanalytics.com/blog/finance-lease-operating-lease/
galardi group,590,,9,11.623,https://tangoanalytics.com/news/galardi-group-inc-turns-to-tango-to-accelerate-expansion-plans/
net lettable area,5400,,66,11.34,https://tangoanalytics.com/blog/whats-the-difference-between-net-area-and-net-floor-area/
singlesource property solutions,5400,,33,11.34,https://tangoanalytics.com/
what is considered a leasehold improvement,70,,4,11.34,https://tangoanalytics.com/blog/leasehold-improvements/
what is considered leasehold improvements,70,,4,11.34,https://tangoanalytics.com/blog/leasehold-improvements/
what is net area,70,,5,11.34,https://tangoanalytics.com/blog/whats-the-difference-between-net-area-and-net-floor-area/
tango technology,170,35,5,11.203,https://tangoanalytics.com/technology/artificial-intelligence/
real estate tia,110,,7,10.703,https://tangoanalytics.com/blog/tenant-improvement-allowance/
tango jobs,110,,3,10.703,https://tangoanalytics.com/careers/
operating lease versus finance lease,2400,,19,10.32,https://tangoanalytics.com/blog/finance-lease-operating-lease/
finance lease vs capital lease,390,,13,9.984,https://tangoanalytics.com/blog/finance-lease-operating-lease/
finance vs capital lease,390,,11,9.984,https://tangoanalytics.com/blog/finance-lease-operating-lease/
food store layout,880,1,16,9.944,https://tangoanalytics.com/blog/store-layout-examples/
selection location,210,1,9,9.849,https://tangoanalytics.com/blog/site-selection/
watchwire,210,15,5,9.849,https://tangoanalytics.com/news/tango-acquires-watchwire/
agilquest login,480,,8,9.456,https://tangoanalytics.com/
definition of leasehold improvements,480,,10,9.456,https://tangoanalytics.com/blog/leasehold-improvements/
cam charges,4400,15,54,9.24,https://tangoanalytics.com/blog/cam-reconciliation/
meaning of occupancy,4400,1,87,9.24,https://tangoanalytics.com/
occupancies meaning,4400,1,90,9.24,https://tangoanalytics.com/
recalibration meaning,4400,,93,9.24,https://tangoanalytics.com/blog/refit-recalibration/
reporting sustainability,4400,23,31,9.24,https://tangoanalytics.com/blog/sustainability-reporting-explained/
sustainability report,4400,37,101,9.24,https://tangoanalytics.com/blog/sustainability-reporting-explained/
workplace experience,4400,2,95,9.24,https://tangoanalytics.com/blog/workplace-analytics-how-to-measure-experience/
space utilization,140,,7,9.226,https://tangoanalytics.com/blog/space-utilization/
franchising marketing,1600,,18,8.96,https://tangoanalytics.com/blog/franchise-marketing/
grocery store floor plans,260,,9,8.788,https://tangoanalytics.com/blog/store-layout-examples/
leasehold improvement,260,,10,8.788,https://tangoanalytics.com/blog/leasehold-improvements/
percentage of rent,260,7,8,8.788,https://tangoanalytics.com/blog/percentage-rent/
retail store layout and design,260,6,7,8.788,https://tangoanalytics.com/blog/store-layout-examples/
allocation of space,90,,6,8.757,https://tangoanalytics.com/blog/space-allocation/
natural breakpoint percentage rent,90,,5,8.757,https://tangoanalytics.com/blog/percentage-rent/
retail store layout plan,90,2,4,8.757,https://tangoanalytics.com/blog/store-layout-examples/
gis map example,320,28,11,8.192,https://tangoanalytics.com/blog/gis-map-examples/
allocating space,50,,5,8.1,https://tangoanalytics.com/blog/space-allocation/
deferred rent accounting entry,50,,3,8.1,https://tangoanalytics.com/blog/deferred-rent/
deferred rent revenue,50,,4,8.1,https://tangoanalytics.com/blog/deferred-rent/
layout market,50,,5,8.1,https://tangoanalytics.com/blog/store-layout-examples/
percentage rent natural breakpoint,50,,3,8.1,https://tangoanalytics.com/blog/percentage-rent/
small store layouts,50,9,3,8.1,https://tangoanalytics.com/blog/store-layout-examples/
what does leasehold improvements mean,50,,4,8.1,https://tangoanalytics.com/blog/leasehold-improvements/
cam meaning real estate,880,4,14,8.008,https://tangoanalytics.com/blog/cam-reconciliation/
tango com,880,70,13,8.008,https://tangoanalytics.com/
hoteling policy,170,,7,7.973,https://tangoanalytics.com/blog/9-office-hoteling-best-practices/
tango student explorer,170,7,5,7.973,https://tangoanalytics.com/tango-university/
finance lease versus operating lease,2400,,22,7.92,https://tangoanalytics.com/blog/finance-lease-operating-lease/
cafm software,390,,12,7.683,https://tangoanalytics.com/blog/cafm/
cafm softwares,390,1,10,7.683,https://tangoanalytics.com/blog/cafm/
capital leases vs finance leases,390,2,10,7.683,https://tangoanalytics.com/blog/finance-lease-operating-lease/
capital lease operating lease,1300,,19,7.67,https://tangoanalytics.com/blog/finance-lease-operating-lease/
flexible office spaces,3600,75,40,7.56,https://tangoanalytics.com/blog/flexible-office-spaces/
hoteling meaning,3600,,42,7.56,https://tangoanalytics.com/blog/office-hoteling/
operating lease capital lease,1000,,17,7.5,https://tangoanalytics.com/blog/finance-lease-operating-lease/
cam audit,110,,6,7.249,https://tangoanalytics.com/blog/cam-audits/
hoteling offices,480,3,12,7.2,https://tangoanalytics.com/blog/9-office-hoteling-best-practices/
selection of location,480,,12,7.2,https://tangoanalytics.com/blog/site-selection/
hoteling stations,210,,8,7.098,https://tangoanalytics.com/blog/office-hoteling/
space optimization,210,3,9,7.098,https://tangoanalytics.com/blog/space-optimization/
marketing for franchises,1600,,20,6.88,https://tangoanalytics.com/blog/franchise-marketing/
marketing to franchisees,1600,,19,6.88,https://tangoanalytics.com/blog/franchise-marketing/
right-of-use assets,1600,,21,6.88,https://tangoanalytics.com/blog/right-of-use-asset/
deferred rent payment,70,,5,6.811,https://tangoanalytics.com/blog/deferred-rent/
examples of leasehold improvements,70,,5,6.811,https://tangoanalytics.com/blog/leasehold-improvements/
facility management planning,70,,5,6.811,https://tangoanalytics.com/blog/facility-planning/
free flow store layout,70,,6,6.811,https://tangoanalytics.com/blog/store-layout-examples/
free-flow store layout,70,,6,6.811,https://tangoanalytics.com/blog/store-layout-examples/
kinds of store layout,70,,5,6.811,https://tangoanalytics.com/blog/store-layout-examples/
leasehold improvements examples,70,,5,6.811,https://tangoanalytics.com/blog/leasehold-improvements/
net building area,70,,6,6.811,https://tangoanalytics.com/blog/whats-the-difference-between-net-area-and-net-floor-area/
store plan,70,,4,6.811,https://tangoanalytics.com/blog/store-layout-examples/
types of store layout,70,,5,6.811,https://tangoanalytics.com/blog/store-layout-examples/
types of store layouts,70,,4,6.811,https://tangoanalytics.com/blog/store-layout-examples/
what is net floor area,70,,5,6.811,https://tangoanalytics.com/blog/whats-the-difference-between-net-area-and-net-floor-area/
capital lease versus operating lease,1300,,20,6.63,https://tangoanalytics.com/blog/finance-lease-operating-lease/
building facility,880,15,16,6.6,https://tangoanalytics.com/blog/facility-management/
layout of a clothing store,140,,8,6.566,https://tangoanalytics.com/blog/store-layout-examples/
tango dallas tx,140,12,5,6.566,https://tangoanalytics.com/
example of gis map,320,28,11,6.304,https://tangoanalytics.com/blog/gis-map-examples/
